trial,seed,n_import_stacks,n_export_stacks,n_new_containers,n_initial_containers,total_containers,hours_simulated,bucket_reshuffles,baseline_reshuffles,reshuffle_reduction,reshuffle_reduction_pct,bucket_total_cost,baseline_total_cost,total_cost_reduction,total_cost_reduction_pct,bucket_overflow_containers,baseline_overflow_containers,bucket_overflow_yards,baseline_overflow_yards,runtime_sec
0,4200000,4,13,587,140,727,338,255,214,-41,-19.1588785046729,6305,7184,879,12.235523385300668,225,217,38,48,2.815
1,4200001,8,4,433,316,749,340,257,247,-10,-4.048582995951417,4857,5407,550,10.171999260218236,200,196,26,32,0.358
2,4200002,9,15,604,164,768,339,228,254,26,10.236220472440944,3418,4104,686,16.71539961013645,149,165,17,22,0.705
3,4200003,12,9,318,146,464,333,152,154,2,1.2987012987012987,1722,2034,312,15.339233038348082,77,78,8,11,0.311
4,4200004,9,7,365,126,491,342,186,178,-8,-4.49438202247191,2436,2648,212,8.006042296072508,115,97,11,15,0.235
5,4200005,15,8,555,257,812,338,239,238,-1,-0.42016806722689076,3149,3568,419,11.743273542600896,151,153,14,18,0.368
6,4200006,8,5,254,192,446,324,135,170,35,20.58823529411765,2295,2810,515,18.327402135231317,86,104,13,16,0.215
7,4200007,10,14,602,212,814,339,251,253,2,0.7905138339920948,3311,4153,842,20.274500361184685,146,160,16,23,0.384
8,4200008,5,12,631,119,750,338,278,208,-70,-33.65384615384615,5298,6428,1130,17.57934038581207,222,182,28,44,0.51
9,4200009,7,8,664,183,847,345,280,263,-17,-6.4638783269961975,4690,5453,763,13.99229781771502,191,199,25,32,0.393
10,4200010,12,5,328,254,582,338,207,160,-47,-29.375,3227,3230,3,0.09287925696594428,142,107,16,20,0.256
11,4200011,9,10,360,117,477,327,146,124,-22,-17.741935483870968,1966,2314,348,15.038893690579084,82,69,10,15,0.218
12,4200012,14,12,378,205,583,335,200,232,32,13.793103448275861,2030,2322,292,12.575366063738157,103,109,8,10,0.252
13,4200013,15,14,404,181,585,338,202,171,-31,-18.128654970760234,1852,2011,159,7.906514172053704,95,64,7,12,0.297
14,4200014,13,5,437,194,631,339,190,163,-27,-16.56441717791411,3100,3243,143,4.409497378970089,121,98,17,21,0.282
15,4200015,4,7,385,128,513,345,172,154,-18,-11.688311688311689,4232,4534,302,6.660785178650198,136,138,27,30,0.233
16,4200016,15,8,365,115,480,338,133,152,19,12.5,1663,1852,189,10.205183585313176,63,60,9,11,0.229
17,4200017,13,4,445,111,556,328,188,154,-34,-22.07792207792208,3028,3224,196,6.079404466501241,94,87,19,22,0.264
18,4200018,8,13,523,298,821,335,271,187,-84,-44.919786096256686,4151,4697,546,11.624441132637854,188,151,20,30,0.391
19,4200019,8,6,439,302,741,333,264,269,5,1.858736059479554,3824,4699,875,18.620983187912323,186,193,17,25,0.289
20,4200020,13,5,631,172,803,338,253,229,-24,-10.480349344978166,4053,4099,46,1.1222249329104659,180,147,20,24,0.378
21,4200021,3,13,558,175,733,346,242,220,-22,-10.0,7112,8410,1298,15.434007134363853,217,219,47,60,0.406
22,4200022,6,13,489,189,678,337,264,222,-42,-18.91891891891892,4054,4492,438,9.7506678539626,179,157,20,27,0.319
23,4200023,8,3,275,195,470,342,162,142,-20,-14.084507042253522,3252,3422,170,4.967855055523086,109,88,20,24,0.269
24,4200024,8,11,523,204,727,336,217,205,-12,-5.853658536585366,3667,4325,658,15.213872832369942,155,152,19,26,0.331
25,4200025,9,4,580,203,783,343,230,258,28,10.852713178294573,4840,5388,548,10.170749814402376,191,203,27,31,0.346
26,4200026,10,10,285,160,445,340,141,144,3,2.0833333333333335,1761,2154,393,18.245125348189415,72,71,9,13,0.193
27,4200027,10,10,283,132,415,337,156,154,-2,-1.2987012987012987,1666,1754,88,5.017103762827822,71,60,8,10,0.181
28,4200028,15,5,434,104,538,338,166,170,4,2.3529411764705883,2536,2430,-106,-4.362139917695473,107,86,13,14,0.241
29,4200029,8,3,293,224,517,311,156,142,-14,-9.859154929577464,3966,4082,116,2.8417442430181286,131,114,25,28,0.245
30,4200030,14,6,643,216,859,345,261,262,1,0.3816793893129771,3801,4192,391,9.327290076335878,174,163,18,23,0.398
31,4200031,6,4,533,146,679,345,234,247,13,5.2631578947368425,4414,5577,1163,20.853505468890084,188,203,23,33,0.301
32,4200032,15,11,480,125,605,331,190,221,31,14.027149321266968,1850,2451,601,24.520603835169318,86,113,8,11,0.263
33,4200033,8,7,269,214,483,338,150,150,0,0.0,2350,2850,500,17.54385964912281,100,90,12,18,0.2
34,4200034,4,4,541,245,786,338,285,252,-33,-13.095238095238095,6585,7682,1097,14.28013538141109,260,233,37,51,0.361
35,4200035,12,12,336,144,480,340,176,181,5,2.7624309392265194,1636,2191,555,25.330899132816064,76,101,7,10,0.206
