case_id,CTR_SIZE,GROSS,YARD_SLOT,n_events,n_unique_activities,n_unique_roles,hours_atb_to_discharge,flag_quarantine,flag_customs,flag_damage,dwell_hours,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AAAU9001220-2021-06-28,40.0,12.2,98.0,4,4,4,3.782,1,0,0,176.48333333333332,True,False,False,False,False,False,False,False,False,False,False,False,True,False,13
AAMU2609009-2021-09-26,20.0,25.9,51.0,4,4,4,11.030061388888889,0,0,0,79.0813888888889,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16
AAMU2609164-2021-09-07,20.0,25.8,11.0,4,4,4,8.952985277777778,0,0,0,61.134166666666665,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16
AAMU4000372-2021-09-07,40.0,28.7,30.0,6,6,6,14.175486666666666,1,0,0,27.83416666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4000705-2021-09-07,40.0,25.9,2.0,7,7,6,4.884545555555556,1,0,0,16.48361111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4001070-2021-08-28,40.0,23.9,2.0,4,4,4,19.07596611111111,0,0,0,54.49444444444445,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4001954-2021-08-02,40.0,33.7,22.0,3,3,3,3.3311883333333334,1,0,0,73.48,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4002225-2021-09-21,40.0,28.7,42.0,7,7,7,7.5299763888888895,1,0,0,15.150277777777777,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4002436-2021-09-07,40.0,33.7,4.0,4,4,4,3.9882708333333334,1,0,0,59.925555555555555,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4002462-2021-09-21,40.0,28.7,8.0,5,5,5,8.412935833333334,1,0,0,14.665,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4002499-2021-09-11,40.0,28.0,38.0,7,7,6,4.391564166666667,1,0,0,24.356944444444444,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4002523-2021-08-28,40.0,28.4,14.0,7,7,7,18.426876666666665,1,0,0,17.53472222222222,False,False,False,False,True,False,False,False,False,False,False,False,True,False,32
AAMU4002610-2021-08-27,40.0,23.6,34.0,6,6,6,3.584393611111111,1,0,0,7.850833333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4002713-2021-08-02,40.0,26.9,14.0,8,8,7,13.891725555555555,1,0,0,5.273611111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AAMU4002863-2021-09-27,40.0,28.7,42.0,6,6,6,3.0567344444444444,1,0,0,32.60194444444444,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4002903-2021-09-11,40.0,29.3,46.0,7,7,7,14.907107222222223,1,0,0,17.865555555555556,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4003031-2021-06-20,40.0,31.3,8.0,4,4,4,3.2186391666666667,0,0,0,262.0833333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4003052-2021-09-07,40.0,28.7,22.0,6,6,6,4.893889166666667,1,0,0,36.62416666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4003664-2021-09-07,40.0,25.8,12.0,6,6,6,5.951463055555555,1,0,0,15.140555555555556,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4003685-2021-09-01,40.0,32.6,34.0,7,7,7,3.125115,1,0,0,22.551388888888887,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AAMU4003807-2021-08-28,40.0,25.7,42.0,6,6,6,2.655371111111111,1,0,0,44.564166666666665,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AAMU4004613-2021-08-02,40.0,33.7,12.0,4,4,4,8.0954225,1,0,0,68.31777777777778,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4004969-2021-07-07,40.0,33.7,8.0,5,5,5,2.879191666666667,1,0,0,30.216666666666665,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4005522-2021-09-07,40.0,33.7,8.0,4,4,4,5.7544933333333335,1,0,0,71.43722222222222,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4006616-2021-08-27,40.0,32.1,8.0,5,5,5,4.281918888888889,0,0,0,4.3502777777777775,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4006909-2021-09-05,40.0,27.6,12.0,5,5,5,2.8843683333333336,0,0,0,26.238055555555555,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4007021-2021-08-28,40.0,26.5,10.0,6,6,6,3.052036111111111,1,0,0,68.50611111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AAMU4007485-2021-08-13,40.0,33.7,8.0,3,3,3,3.679168333333333,1,0,0,128.82694444444445,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4007546-2021-08-13,40.0,33.7,8.0,4,4,4,2.0363663888888888,1,0,0,80.20083333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4007700-2021-08-02,40.0,33.7,8.0,3,3,3,2.6162272222222223,1,0,0,65.82416666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4007926-2021-08-02,40.0,33.7,12.0,5,5,5,8.239542222222221,1,0,0,37.246944444444445,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4008178-2021-09-11,40.0,28.6,62.0,4,4,4,4.748381111111111,1,0,0,29.19638888888889,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16
AAMU4008218-2021-08-28,40.0,33.7,18.0,5,5,5,4.064351111111112,1,0,0,73.24111111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4008250-2021-09-07,40.0,33.7,4.0,4,4,4,4.141032777777778,1,0,0,63.05916666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008265-2021-09-07,40.0,28.7,14.0,5,5,5,14.090041666666668,1,0,0,26.371111111111112,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21
AAMU4008291-2021-07-07,40.0,33.7,18.0,5,5,5,20.963240555555554,1,0,0,11.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008326-2021-09-07,40.0,25.8,12.0,6,6,6,5.973989722222223,1,0,0,15.300277777777778,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008413-2021-09-11,40.0,23.4,26.0,6,6,6,12.947014166666666,1,0,0,38.75055555555556,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4008558-2021-08-02,40.0,28.7,12.0,4,4,4,8.2682025,1,0,0,113.18472222222222,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
