case_id,CTR_SIZE,GROSS,YARD_SLOT,dwell_hours,flag_quarantine,flag_customs,flag_damage,n_events,n_unique_roles,n_unique_activities,hours_atb_to_discharge,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AAAU9001220-2021-06-28,40.0,12.2,98.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,13.0
AAMU2609009-2021-09-26,20.0,25.9,51.0,,0,0,0,9,6,9,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16.0
AAMU2609164-2021-09-07,20.0,25.8,11.0,,0,0,0,9,6,9,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16.0
AAMU4000372-2021-09-07,40.0,28.7,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4000705-2021-09-07,40.0,25.9,2.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4001070-2021-08-28,40.0,23.9,2.0,,0,0,0,9,6,9,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4001954-2021-08-02,40.0,33.7,22.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4002225-2021-09-21,40.0,28.7,42.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4002436-2021-09-07,40.0,33.7,4.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4002462-2021-09-21,40.0,28.7,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4002499-2021-09-11,40.0,28.0,38.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4002523-2021-08-28,40.0,28.4,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,32.0
AAMU4002610-2021-08-27,40.0,23.6,34.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4002713-2021-08-02,40.0,26.9,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AAMU4002863-2021-09-27,40.0,28.7,42.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4002903-2021-09-11,40.0,29.3,46.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4003031-2021-06-20,40.0,31.3,8.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4003052-2021-09-07,40.0,28.7,22.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4003664-2021-09-07,40.0,25.8,12.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4003685-2021-09-01,40.0,32.6,34.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AAMU4003807-2021-08-28,40.0,25.7,42.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AAMU4004613-2021-08-02,40.0,33.7,12.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4004969-2021-07-07,40.0,33.7,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4005522-2021-09-07,40.0,33.7,8.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4006616-2021-08-27,40.0,32.1,8.0,,0,0,0,9,6,9,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4006909-2021-09-05,40.0,27.6,12.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4007021-2021-08-28,40.0,26.5,10.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AAMU4007485-2021-08-13,40.0,33.7,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4007546-2021-08-13,40.0,33.7,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4007700-2021-08-02,40.0,33.7,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4007926-2021-08-02,40.0,33.7,12.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4008178-2021-09-11,40.0,28.6,62.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16.0
AAMU4008218-2021-08-28,40.0,33.7,18.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4008250-2021-09-07,40.0,33.7,4.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4008265-2021-09-07,40.0,28.7,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21.0
AAMU4008291-2021-07-07,40.0,33.7,18.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4008326-2021-09-07,40.0,25.8,12.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AAMU4008413-2021-09-11,40.0,23.4,26.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4008558-2021-08-02,40.0,28.7,12.0,,1,0,0,17,7,17,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4008645-2021-09-01,40.0,28.0,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AAMU4008666-2021-09-16,40.0,33.0,8.0,,0,0,0,9,6,9,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU4009003-2021-09-11,40.0,28.7,22.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AAMU4009528-2021-08-02,40.0,25.9,22.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AAMU8000787-2021-09-25,20.0,29.0,23.0,,0,0,0,9,6,9,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16.0
AAMU8000792-2021-09-25,20.0,27.4,23.0,,0,0,0,9,6,9,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16.0
ACCU2049701-2021-07-13,20.0,30.08,111.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AKLU6000450-2021-09-17,20.0,26.61,143.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AKLU6006170-2021-08-21,20.0,3319.0,105.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AKLU6017560-2021-09-01,20.0,22.4,85.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16.0
AKLU6018802-2021-08-10,20.0,22.8,99.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AKLU6019075-2021-08-21,20.0,22.21,83.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AKLU6023542-2021-09-18,20.0,29404.0,89.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AKLU6025756-2021-07-10,20.0,22.51,5.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31.0
AKLU6026480-2021-07-31,20.0,29.55,37.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0
AKLU6028307-2021-06-30,20.0,2.9,71.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,13.0
AKLU6029643-2021-08-21,20.0,30.25,131.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
