seed,containers,import_stacks,export_stacks,initial_containers,bucket_reshuffles,baseline_reshuffles,bucket_overflow,baseline_overflow,bucket_cost,baseline_cost,reshuffle_reduction,cost_reduction,reshuffle_pct_reduction,cost_pct_reduction
1521,752,10,10,33,140,226,112,133,3260,3956,86,696,38.05309734513274,17.593528816986854
1737,699,12,12,44,117,221,85,131,2667,3431,104,764,47.05882352941177,22.267560477994753
1740,739,12,12,26,120,222,81,122,2530,3542,102,1012,45.945945945945944,28.571428571428573
1660,543,10,10,65,112,210,80,114,2512,3150,98,638,46.666666666666664,20.253968253968253
1411,635,10,10,53,98,206,68,114,2578,3346,108,768,52.42718446601942,22.952779438135085
1678,673,10,10,36,110,214,89,142,2800,3634,104,834,48.598130841121495,22.94991744634012
1626,613,10,10,58,132,207,90,129,2832,3397,75,565,36.231884057971016,16.63232263762143
1513,549,9,9,68,84,180,68,113,2664,3410,96,746,53.333333333333336,21.87683284457478
1859,557,11,11,36,94,172,62,73,2114,2602,78,488,45.348837209302324,18.754803996925443
1136,625,8,8,74,146,235,113,168,3476,4315,89,839,37.87234042553192,19.44380069524913
1811,501,10,10,26,90,182,63,94,2120,2722,92,602,50.54945054945055,22.116091109478326
1076,899,12,12,47,145,260,108,168,3325,4440,115,1115,44.23076923076923,25.11261261261261
1636,489,8,8,40,79,153,58,89,2359,3143,74,784,48.36601307189542,24.94432071269488
1973,838,10,10,53,124,261,101,168,3534,4741,137,1207,52.490421455938694,25.45876397384518
1938,635,12,12,21,94,214,55,109,2144,3004,120,860,56.074766355140184,28.62849533954727
1899,459,12,12,38,72,140,51,60,1782,2040,68,258,48.57142857142857,12.647058823529411
1280,506,9,9,65,93,162,67,104,2463,3102,69,639,42.592592592592595,20.599613152804643
1883,744,10,10,44,126,216,101,151,3136,3926,90,790,41.666666666666664,20.12226184411615
1761,692,12,12,74,118,221,92,129,2738,3411,103,673,46.60633484162896,19.730284374083848
1319,679,12,12,32,130,234,93,127,2660,3304,104,644,44.44444444444444,19.491525423728813
1549,632,10,10,56,112,207,81,138,2722,3587,95,865,45.893719806763286,24.11485921382771
1174,606,12,12,65,130,229,90,135,2530,3179,99,649,43.23144104803494,20.41522491349481
1371,569,12,12,25,78,167,64,86,2018,2527,89,509,53.293413173652695,20.142461416699643
1527,488,9,9,67,100,209,73,127,2430,3179,109,749,52.15311004784689,23.560868197546398
1210,743,10,10,56,142,226,90,142,3042,4046,84,1004,37.16814159292036,24.81463173504696
1235,603,10,10,29,108,196,80,129,2508,3286,88,778,44.89795918367347,23.676202069385273
1101,617,8,8,80,132,211,108,153,3512,4241,79,729,37.44075829383886,17.189342136288612
1986,809,12,12,57,124,246,92,133,2944,3776,122,832,49.59349593495935,22.033898305084747
1902,740,12,12,74,160,256,117,162,3030,3776,96,746,37.5,19.75635593220339
1947,603,11,11,55,98,186,79,113,2488,3116,88,628,47.31182795698925,20.154043645699616
